,first_name,author_id,full_name,is_initial,gender
0,Richard,1717841,Richard Szeliski,False,male
1,Arthur,48898002,Arthur D. Edelstein,False,male
2,Nenad,8610628,Nenad Amodaj,False,male
3,Karl,16207529,Karl Hoover,False,male
4,Ron,145127145,Ron D. Vale,False,male
5,Nico,47555516,Nico Stuurman,False,male
6,Jonathan,38825181,Jonathan Lazar,False,male
7,Jinjuan,40387584,Jinjuan Feng,False,unknown
8,Harry,145266702,Harry Hochheiser,False,male
9,Matt,8654267,Matt Kaufmann,False,male
10,J.,50645988,J. Strother Moore,True,unknown
11,Panagiotis,1786747,Panagiotis Manolios,False,male
13,Hagit,1398184774,Hagit Hel-Or,False,female
14,Craig,2345263,Craig S. Kaplan,False,male
15,Luc,1681236,Luc Van Gool,False,male
16,Desney,1719056,Desney S. Tan,False,unknown
17,Anton,144483472,Anton Nijholt,False,male
18,Thorsten,36476952,Thorsten O. Zander,False,male
19,Christian,50393156,Christian Kothe,False,male
20,Lieven,1717133,Lieven Eeckhout,False,male
21,Paul,1728736,Paul Merrell,False,male
22,Eric,1945094,Eric Schkufza,False,male
23,Vladlen,145231047,Vladlen Koltun,False,male
24,Tsung-Hsiang,2337269,Tsung-Hsiang Chang,False,unknown
25,Tom,1704158,Tom Yeh,False,male
26,Rob,34205614,Rob Miller,False,male
27,Richard,1712156,Richard P. Brent,False,male
28,Paul,144177715,Paul Zimmermann,False,male
29,Jill,1727782,Jill P. Mesirov,False,female
30,Laurent,39135839,Laurent George,False,male
31,Anatole,1693899,Anatole Lécuyer,False,male
32,Thorsten,36476952,Thorsten O. Zander,False,male
33,Matti,2673848,Matti Gaertner,False,male
34,Christian,50393156,Christian Kothe,False,male
35,Roman,3113051,Roman Vilimek,False,male
36,Gwen,2724380,Gwen Littlewort,False,female
37,Jacob,143973061,Jacob Whitehill,False,male
38,Tingfan,4072965,Tingfan Wu,False,unknown
39,Ian,2039025,Ian R. Fasel,False,male
40,Mark,49363690,Mark G. Frank,False,male
41,Javier,1741200,Javier R. Movellan,False,mostly_male
42,Marian,2218905,Marian Stewart Bartlett,False,male
43,Matti,145962204,Matti Pietikäinen,False,male
44,Abdenour,144979251,Abdenour Hadid,False,unknown
45,Guoying,1757287,Guoying Zhao,False,unknown
46,Timo,48345000,Timo Ahonen,False,male
47,Clara,2373478,Clara Mancini,False,female
48,Thorsten,36476952,Thorsten O. Zander,False,male
49,Christian,50393156,Christian Kothe,False,male
50,Sabine,2435733,Sabine Jatzev,False,female
51,Matti,2673848,Matti Gaertner,False,male
52,John,40953436,John Wright,False,male
53,Yi,144692024,Yi Ma,False,andy
54,Julien,2599292,Julien Mairal,False,male
55,Guillermo,1699339,Guillermo Sapiro,False,male
56,Thomas,1739208,Thomas S. Huang,False,male
57,Shuicheng,143653681,Shuicheng Yan,False,unknown
58,Simon,48178432,Simon J. D. Prince,False,male
59,Andrea,1687524,Andrea Vedaldi,False,female
60,Brian,2487006,Brian Fulkerson,False,male
61,Sohye,3189835,Sohye Lim,False,unknown
62,Byron,143923082,Byron Reeves,False,male
63,Kristina,2658043,Kristina Scherbaum,False,female
64,Tobias,1759347,Tobias Ritschel,False,male
65,Matthias,1899671,Matthias B. Hullin,False,male
66,Thorsten,2543070,Thorsten Thormählen,False,male
67,Volker,2880906,Volker Blanz,False,male
68,Hans-Peter,145156858,Hans-Peter Seidel,False,unknown
69,Darrel,2801968,Darrel C. Ince,False,male
70,Leslie,40113928,Leslie Hatton,False,mostly_female
71,John,1399098133,John Graham-Cumming,False,male
72,Roberto,1737048,Roberto Manduchi,False,male
73,James,8436115,James M. Coughlan,False,male
74,Eric,3144887,Eric A. Pohlmeyer,False,male
75,Jun,39704469,Jun Wang,False,mostly_male
76,David,2893844,David C. Jangraw,False,male
77,Bin,50722956,Bin Lou,False,andy
78,Shih-Fu,9546964,Shih-Fu Chang,False,unknown
79,Paul,1812793,Paul Sajda,False,male
80,Darren,145499144,Darren P. Martin,False,male
81,Philippe,2120394,Philippe Lemey,False,male
82,Martin,3312807,Martin Lott,False,male
83,Vincent,1681723,Vincent Moulton,False,male
84,David,143610178,David Posada,False,male
85,Pierre,48609840,Pierre Lefeuvre,False,male
86,Orni,1398913227,Orni Meerbaum-Salant,False,unknown
87,Michal,1782253,Michal Armoni,False,male
88,Mordechai,1398913278,Mordechai Ben-Ari,False,male
89,Lawrence,33867594,Lawrence Y. Deng,False,male
90,Chun-Liang,2230702,Chun-Liang Hsu,False,andy
91,Tzu-Ching,50019873,Tzu-Ching Lin,False,unknown
92,Jui-Sen,48454920,Jui-Sen Tuan,False,unknown
93,Shih-Ming,3180038,Shih-Ming Chang,False,unknown
94,Julio,145336124,Julio Cezar Silveira Jacques,False,male
95,Soraia,1679516,Soraia Raupp Musse,False,unknown
96,Cláudio,2870402,Cláudio Rosito Jung,False,male
97,Holger,2531020,Holger Dette,False,male
98,Andrey,2520031,Andrey Pepelyshev,False,male
99,Aliaksandr,1760655,Aliaksandr Lazouski,False,male
100,Fabio,145355672,Fabio Martinelli,False,male
101,Paolo,144614645,Paolo Mori,False,male
102,Andreas,143837016,Andreas Kolb,False,male
103,Erhardt,1839848,Erhardt Barth,False,male
104,Reinhard,144839904,Reinhard Koch,False,male
105,Rasmus,145726197,Rasmus Larsen,False,male
106,Jonathan,144142993,Jonathan S. Brumberg,False,male
107,Alfonso,1403404194,Alfonso Nieto-Castañón,False,male
108,Philip,29894035,Philip R. Kennedy,False,male
109,Frank,2376708,Frank H. Guenther,False,male
110,T.,1766388,T. Scott Saponas,True,unknown
111,Desney,1719056,Desney S. Tan,False,unknown
112,Dan,144864481,Dan Morris,False,male
113,Jim,2794378,Jim Turner,False,male
114,James,9522307,James A. Landay,False,male
115,Andreas,3194727,Andreas Bulling,False,male
116,Hans-Werner,4919595,Hans-Werner Gellersen,False,unknown
117,Bryan,2291514,Bryan Parno,False,male
118,Jonathan,1764848,Jonathan M. McCune,False,male
119,Adrian,1688974,Adrian Perrig,False,male
120,Gabriel,145481009,Gabriel Peyré,False,male
121,Mickaël,3082682,Mickaël Péchaud,False,male
122,Renaud,1748053,Renaud Keriven,False,male
123,Laurent,144049705,Laurent D. Cohen,False,male
124,Morteza,32690172,Morteza Alamgir,False,male
125,Moritz,1399050539,Moritz Grosse-Wentrup,False,male
126,Yasemin,51332183,Yasemin Altun,False,female
127,Eva,2361074,Eva Stanova,False,female
128,Gabriel,3147246,Gabriel Fedorko,False,male
129,Michal,40142034,Michal Fabian,False,male
130,Stanislav,3031382,Stanislav Kmet,False,male
131,Bryan,2291514,Bryan Parno,False,male
132,Jonathan,1764848,Jonathan M. McCune,False,male
133,Adrian,1688974,Adrian Perrig,False,male
134,Jean-Yves,70195324,Jean-Yves Le Boudec,False,unknown
135,Jian,1846202,Jian Ren,False,andy
136,Jie,39006765,Jie Wu,False,andy
137,Mark,1727698,Mark S. Nixon,False,male
138,Alberto,2867635,Alberto S. Aguado,False,male
139,William,145074955,William B. Thompson,False,male
140,Roland,2436224,Roland W. Fleming,False,male
141,Sarah,1382493326,Sarah H. Creem-Regehr,False,female
142,Jeanine,1720140,Jeanine Stefanucci,False,female
144,Nicolas,1723057,Nicolas D. Georganas,False,male
145,Emil,1745632,Emil M. Petriu,False,male
146,Daniel,31439274,Daniel Lélis Baggio,False,male
147,Yui,1733571,Yui Man Lui,False,female
148,Scott,32325948,Scott Makeig,False,male
149,Christian,2434645,Christian Kothe,False,male
150,Tim,11904149,Tim R. Mullen,False,male
151,Nima,2817212,Nima Bigdely Shamlo,False,mostly_male
152,Zhilin,1791667,Zhilin Zhang,False,unknown
153,Kenneth,1395421758,Kenneth Kreutz-Delgado,False,male
154,Peter,4590524,Peter Wilf,False,male
155,Shengping,1761159,Shengping Zhang,False,unknown
156,Sharat,7489841,Sharat Chikkerur,False,unknown
157,Stefan,20389928,Stefan A Little,False,male
158,Scott,3561119,Scott L Wing,False,male
159,Thomas,1981539,Thomas Serre,False,male
160,An,1970594,An H. Do,False,andy
161,Po,11791749,Po T. Wang,False,andy
162,Christine,3022234,Christine E. King,False,female
163,Sophia,39981156,Sophia N. Chun,False,female
164,Zoran,3232114,Zoran Nenadic,False,male
165,Kari,1704409,Kari Pulli,False,female
166,Anatoly,2913761,Anatoly Baksheev,False,male
167,Kirill,3110058,Kirill Kornyakov,False,male
168,Victor,1694382,Victor Eruhimov,False,male
169,Jan,144228770,Jan B. F. van Erp,False,male
170,Fabien,2890785,Fabien Lotte,False,male
171,Michael,2345823,Michael Tangermann,False,male
172,Joanna,4607830,Joanna Goode,False,female
173,Gail,145920457,Gail Chapman,False,mostly_female
174,Jane,2868232,Jane Margolis,False,female
175,Xiao,3215854,Xiao Cui,False,andy
176,Hao,47115296,Hao Shi,False,andy
177,Sebastian,2388416,Sebastian Nowozin,False,male
178,Christoph,1787591,Christoph H. Lampert,False,male
179,David,34667895,David Money Harris,False,male
180,Sarah,48952699,Sarah L. Harris,False,female
181,Justin,2361828,Justin Grimmer,False,male
182,Gary,143890476,Gary King,False,male
183,Shuxing,39961088,Shuxing Zhang,False,unknown
184,Meindert,3142710,Meindert Niemeijer,False,male
185,Marco,143888579,Marco Loog,False,male
186,Michael,143650563,Michael David Abràmoff,False,male
187,Max,1704117,Max A. Viergever,False,male
188,Mathias,144807445,Mathias Prokop,False,male
189,Bram,8038506,Bram van Ginneken,False,male
190,Nico,153556995,Nico Rutten,False,male
191,Wouter,8212959,Wouter R. van Joolingen,False,male
192,Jan,145581424,Jan T. van der Veen,False,male
193,Edward,35162579,Edward Roy Davies,False,male
194,Margaret,49501003,Margaret Mitchell,False,female
195,Jesse,34176020,Jesse Dodge,False,male
196,Amit,46479604,Amit Goyal,False,male
197,Kota,1721910,Kota Yamaguchi,False,male
198,Karl,1714215,Karl Stratos,False,male
199,Xufeng,1682965,Xufeng Han,False,unknown
200,Alyssa,40614240,Alyssa Mensch,False,female
201,Alexander,39668247,Alexander C. Berg,False,male
202,Tamara,1685538,Tamara L. Berg,False,female
203,Hal,1722360,Hal Daumé,False,male
204,Sebastian,1986611,Sebastian Halder,False,male
205,D.,46391185,D. Agorastos,True,unknown
206,Ralf,3206231,Ralf Veit,False,male
207,Eva,39893757,Eva M. Hammer,False,female
208,Sangmin,47089481,Sangmin Lee,False,unknown
209,B.,2219154,B. Varkuti,True,unknown
210,Martin,2239056,Martin Bogdan,False,male
211,Wolfgang,144742078,Wolfgang Rosenstiel,False,male
212,Niels,145198983,Niels Birbaumer,False,male
213,Andrea,144792336,Andrea Kübler,False,female
214,John,1772133,John L. Hennessy,False,male
215,David,1701130,David A. Patterson,False,male
216,David,145824029,David Silver,False,male
217,Richard,1699645,Richard S. Sutton,False,male
218,Martin,153013316,Martin Müller,False,male
219,Krzysztof,1748061,Krzysztof R. Apt,False,male
220,Erich,52618268,Erich Grdel,False,male
221,Robert,11141530,Robert Laganière,False,male
222,Neeraj,144996078,Neeraj Kumar,False,mostly_male
223,Peter,1767767,Peter N. Belhumeur,False,male
224,Arijit,47606073,Arijit Biswas,False,unknown
225,David,34734622,David W. Jacobs,False,male
226,W.,145457982,W. John Kress,True,unknown
