author_id,gender,publications,citations,highly_influencial_citations,prom_authors_papers,papers_years
1726246,female,187,12495,1646,4,"2012,2004,2011,2011,2015,2013,2014,2011,2008,2015"
145078811,female,728,61658,6652,4,"2002,2000,2004,2002,2001,2003,2000,2002,2010,2002"
144066998,female,47,5613,1257,4,"2009,2010,2002,2003,2004,2009,2009,2009,2002,2002"
1699786,female,222,7625,1063,4,"2010,2003,2005,1994,2011,1999,2000,1998,1995,2003"
1726246,female,187,12495,1646,4,"2012,2004,2011,2011,2015,2013,2014,2011,2008,2015"
144260175,female,18,1065,141,9,"2012,2011,2011,2012,2013,2010,2008,2011,2014,2015"
40448872,female,192,5842,483,5,"2009,2010,2010,2014,2010,2010,2015,2014,2009,2015"
35964168,female,294,4130,483,3,"2012,2007,2007,2010,2011,2010,2005,2011,1992,2008"
1764975,female,195,4777,511,2,"2012,2005,1999,2008,1995,1994,2003,1993,1996,2014"
1770537,female,156,26420,5396,2,"2009,2014,2012,2008,2011,2013,2011,2006,2012,2016"
1763896,female,151,3802,340,3,"2012,2007,2005,2005,2013,2009,2006,2006,2013,2006"
69044839,female,70,2664,194,4,"2012,2015,2008,2009,2016,2014,2016,2016,2016,2008"
143859272,female,65,5137,882,3,"2010,2007,2009,2010,2014,2013,2010,2008,2016,2008"
1891470,female,11,850,106,4,"2010,2012,2008,2015,2010,2011,2010,2012,2010,2008"
11137066,female,71,799,79,4,"2012,2010,2014,2013,2014,2018,2003,2007,2004,2007"
1771108,female,106,4479,424,3,"2010,2012,2006,2005,2007,2007,2007,2011,2003,2005"
37176218,female,84,2363,244,8,"2012,2011,2010,2012,2012,2015,2016,2013,2017,2016"
1699751,female,347,15426,1603,4,"1999,2007,2010,2007,2012,2006,2002,1999,2011,2011"
2153304,female,33,1647,234,5,"2018,2012,2012,2008,2014,2008,2015,2018,2009,2014"
144337513,female,168,4861,764,4,"2007,2012,2005,2008,2007,2008,2008,2018,2017,2011"
2842650,female,46,2196,273,6,"2008,2012,2015,2008,2013,2012,2016,2011,2016,2009"
1702744,female,71,3455,426,4,"2013,2016,2012,2011,2013,2014,2011,2014,2012,2013"
48913682,female,24,830,64,2,"2012,2003,2006,2010,2009,2008,2006,1986,1994,2001"
1398832206,female,35,1399,143,3,"2011,2010,2004,2004,2005,2008,2006,2006,2008,2015"
144162611,female,249,6929,791,5,"2011,2006,2008,2002,2008,2005,2007,2004,2006,2002"
145526918,female,369,8984,833,8,"2005,2011,2013,2004,2004,2005,2007,2007,2002,1991"
2577769,female,18,741,134,6,"2011,2008,2010,2008,2015,2008,2009,2006,1997,2005"
1809305,female,247,3700,315,12,"2011,2005,2008,2008,2005,2003,2008,2006,2002,2005"
3164630,female,6,739,90,3,"2011,2010,2013,2012,2011,2009"
144740161,female,59,1394,145,2,"2005,2011,2006,2006,2013,2002,2007,2006,2003,1999"
30080277,female,49,2059,195,1,"2009,2010,2011,2016,2010,2010,2013,2013,2017,2004"
1726246,female,187,12495,1646,4,"2012,2004,2011,2011,2015,2013,2014,2011,2008,2015"
2478475,female,14,431,60,4,"2010,2017,2009,2019,2017,2012,2019,2017,2009,2016"
144872567,female,115,1700,192,2,"2010,2001,2006,2008,1997,2013,2007,2012,2010,2012"
1781565,female,215,23708,3749,3,"2006,2006,2014,2001,1988,2008,2006,2011,1991,2007"
3207705,female,18,110,13,2,"2010,2012,2016,2008,2014,2009,2011,2011,2008,2006"
1909157,female,105,1058,57,5,"2013,2010,2011,2011,2010,2011,2015,2012,2016,2010"
36026519,female,22,96,13,7,"2012,2011,2013,2011,2014,2012,2013,2012,2017,2015"
144083401,female,299,4344,354,5,"1987,1999,2000,2015,1998,2017,2001,2016,1998,2016"
144987760,female,284,5220,270,5,"2004,2012,2015,2006,2011,2009,2004,2011,2008,2015"
2366701,female,252,1668,163,2,"2005,2008,2013,2009,2014,2007,2007,2013,2009,2004"
2161398,female,53,55,6,1,"2010,2012,2014,2008,2009,2011,2010,2008,2008,2011"
1724356,female,23,261,39,1,"2007,2007,2013,2006,2009,2012,2008,2010,2014,2009"
1957919,female,20,422,67,3,"2014,2010,2012,2013,2011,2016,2014,2008,2018,2014"
