author_id,id,name,score
1717841,1733113,Takeo Kanade,318
1717841,1688869,Andrew Zisserman,247
1717841,1679223,Steven M. Seitz,245
1717841,145981906,P. Anandan,221
1717841,143751119,Jitendra Malik,180
48898002,40560488,Wenqin Wang,5
48898002,49223382,Mark Bates,5
48898002,70125886,Xiaowei Zhuang,5
48898002,144365513,Bo Huang,5
48898002,47555516,Nico Stuurman,3
8610628,40560488,Wenqin Wang,5
8610628,49223382,Mark Bates,5
8610628,70125886,Xiaowei Zhuang,5
8610628,144365513,Bo Huang,5
8610628,48898002,Arthur D Edelstein,2
16207529,8610628,Nenad Amodaj,1
16207529,48898002,Arthur D Edelstein,1
16207529,47555516,Nico Stuurman,1
16207529,145127145,Ron D. Vale,1
145127145,144416768,James R. Mcintosh,16
145127145,4339954,Jonathan M. Scholey,16
145127145,145181376,Lawrence S. B. Goldstein,14
145127145,145245271,Kent L. McDonald,11
145127145,1924209,David N. Mastronarde,10
47555516,38745402,Ronald D. Vale,59
47555516,4862573,James A Spudich,21
47555516,5476107,Roger E Karess,15
47555516,145608444,L Stirling Churchman,15
47555516,2403643,Jason R. Swedlow,14
